,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,408 - Oakland 2,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,313,313
1,408 - Oakland 2,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,313,313
2,408 - Oakland 2,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,313,313
3,408 - Oakland 2,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,313,313
4,408 - Oakland 2,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,313,313
5,408 - Oakland 2,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,313,313
6,408 - Oakland 2,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,313,313
7,408 - Oakland 2,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,313,313
8,408 - Oakland 2,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,313,313
9,408 - Oakland 2,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,313,313
10,408 - Oakland 2,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,313,313
11,408 - Oakland 2,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,313,313
12,408 - Oakland 2,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,313,313
13,408 - Oakland 2,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,313,313
14,408 - Oakland 2,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,313,313
15,408 - Oakland 2,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,313,313
16,408 - Oakland 2,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,313,313
17,408 - Oakland 2,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,313,313
18,408 - Oakland 2,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,313,313
19,408 - Oakland 2,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,313,313
