,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,409 - Oakland 3,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,521,521
1,409 - Oakland 3,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,521,521
2,409 - Oakland 3,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,521,521
3,409 - Oakland 3,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,521,521
4,409 - Oakland 3,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,521,521
5,409 - Oakland 3,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,521,521
6,409 - Oakland 3,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,521,521
7,409 - Oakland 3,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,521,521
8,409 - Oakland 3,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,521,521
9,409 - Oakland 3,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,521,521
10,409 - Oakland 3,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,521,521
11,409 - Oakland 3,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,521,521
12,409 - Oakland 3,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,521,521
13,409 - Oakland 3,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,521,521
14,409 - Oakland 3,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,521,521
15,409 - Oakland 3,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,521,521
16,409 - Oakland 3,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,521,521
17,409 - Oakland 3,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,521,521
18,409 - Oakland 3,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,521,521
19,409 - Oakland 3,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,521,521
20,409 - Oakland 3,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,521,521
21,409 - Oakland 3,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,521,521
22,409 - Oakland 3,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,521,521
23,409 - Oakland 3,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,521,521
24,409 - Oakland 3,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,521,521
25,409 - Oakland 3,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,521,521
26,409 - Oakland 3,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,521,521
27,409 - Oakland 3,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,521,521
28,409 - Oakland 3,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,521,521
29,409 - Oakland 3,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,521,521
30,409 - Oakland 3,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,521,521
31,409 - Oakland 3,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,521,521
32,409 - Oakland 3,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,521,521
